event_id,family,year,era,entry,stop,cost,stop_usd,rl,rs
NFP_2023-12-08,NFP,2023,2023-24,m60,10.0,base,10.0,-1.0652743500000041,0.8552256499999658
CPI_2023-12-12,CPI,2023,2023-24,m60,10.0,base,10.0,0.30958720000000994,-0.4794128000000001
NFP_2024-01-05,NFP,2024,2023-24,m60,10.0,base,10.0,-1.1194019500000194,1.1270980499999723
CPI_2024-01-11,CPI,2024,2023-24,m60,10.0,base,10.0,-1.0535759000000098,0.7586240999999972
NFP_2024-02-02,NFP,2024,2023-24,m60,10.0,base,10.0,-1.0775310499999933,1.055968950000033
CPI_2024-02-13,CPI,2024,2023-24,m60,10.0,base,10.0,-1.0278870999999754,0.5347128999999995
NFP_2024-03-08,NFP,2024,2023-24,m60,10.0,base,10.0,-1.4617733500000214,-0.5706733500000609
CPI_2024-03-12,CPI,2024,2023-24,m60,10.0,base,10.0,-1.141654035000056,0.25494596499997896
NFP_2024-04-05,NFP,2024,2023-24,m60,10.0,base,10.0,-1.0818816949999928,0.9059183050000229
CPI_2024-04-10,CPI,2024,2023-24,m60,10.0,base,10.0,-1.1558980499999962,1.2099519499999587
NFP_2024-05-03,NFP,2024,2023-24,m60,10.0,base,10.0,2.0656742350000514,-1.1696257649999553
CPI_2024-05-15,CPI,2024,2023-24,m60,10.0,base,10.0,1.3280551849999938,-1.4226448149999213
NFP_2024-06-07,NFP,2024,2023-24,m60,10.0,base,10.0,-1.120675915000038,1.6091240850000303
CPI_2024-06-12,CPI,2024,2023-24,m60,10.0,base,10.0,0.7098031549999633,-1.4952968450000754
